"block","totalContainers","sourceNode","destinationNode","containerID","containerCPU","averageCPU","stddevCPU","minCPU","maxCPU","algorithm","testCase"
"0","1000","","","","","196.03516","80.147","0","520","MULTI_DIFF","AVERAGE"
"1","1000","56d17ae7-ce68-4fce-9766-b72a2b6969ec","72f75601-7143-4bdf-9e8f-52497aaaffda","57aae171-d7d4-4c58-a131-72714fcb29c9","90","196.03516","79.44388","0","463","MULTI_DIFF","AVERAGE"
"1","1000","5e19d1e2-001f-4372-a7c9-2caa09403978","15258656-35e8-4531-a7d7-e7e7f96d43f2","4a891899-dde1-483e-9420-3cb8b1b70b3d","90","196.03516","78.74075","10","456","MULTI_DIFF","AVERAGE"
"1","1000","ec3d832c-51eb-4e45-887d-df68443ee006","ce8db860-ceda-4655-a812-4b5fe446521b","8963d48c-ae50-407e-8967-f9fd6c825b67","89","196.03516","78.04544","12","437","MULTI_DIFF","AVERAGE"
"1","1000","6f2d5b35-605f-4bc7-9d51-ce1b90c6a20c","b9e55678-9c94-4e7e-815f-4697a0322995","75dd4d57-f714-4d76-8692-0ba72ff1e9b0","84","196.03516","77.38919","19","436","MULTI_DIFF","AVERAGE"
"1","1000","d8a7524c-9df3-4b68-bb1f-4ed66440b3d7","a3c25a25-8849-4967-9992-7768b335766a","8b019d77-c18e-4c42-93fc-561f552f7347","81","196.03516","76.75638","28","430","MULTI_DIFF","AVERAGE"
"1","1000","56d17ae7-ce68-4fce-9766-b72a2b6969ec","e89f8942-cb21-4221-8a28-8c4a4d798434","666152f3-a4bd-4ad0-ab68-bce263be294f","88","196.03516","76.06888","28","427","MULTI_DIFF","AVERAGE"
"1","1000","82ea077c-a3b0-41e6-8049-aeb076d37754","a9956c40-699d-428e-80e5-3e722c8a993b","feba9b3b-c428-437e-979a-f54d2f0534d8","90","196.03516","75.36575","34","426","MULTI_DIFF","AVERAGE"
"1","1000","4e98e18d-9bd5-4721-8581-3c6ae29c80ff","53ac1f79-ea37-4ee3-9d77-7e29e0fcf3a7","7e07b095-b8f9-43dd-8de1-73168d6dfead","81","196.03516","74.73294","36","422","MULTI_DIFF","AVERAGE"
"1","1000","bc8a0e1a-5ed5-4512-974a-08c2cd5be7e3","a9450c3a-7810-42cf-b979-d25e8b127bfa","a8b7a073-c655-4f6f-8e7d-adf76838d5bc","70","196.03516","74.186066","39","416","MULTI_DIFF","AVERAGE"
"1","1000","9e4c810d-4682-426e-a64b-01fa9d9acf96","0500290a-c73b-4d0d-bde0-b7f193a47c8f","532d99b8-b782-4dac-a4df-5ee4fd352052","87","196.03516","73.50638","41","413","MULTI_DIFF","AVERAGE"
"1","1000","246d72f6-b3e7-402c-8f13-d9e0c5f3513f","5661e777-7b6b-43df-8d46-d2ef7e115f1f","20631817-3d9c-42f6-8ee1-00acec9b3f7c","90","196.03516","72.80325","42","398","MULTI_DIFF","AVERAGE"
"1","1000","d93d6849-6638-4c8f-91e4-f0a9fffddb98","d85b5227-705a-460d-a1df-6cee69f7f2f5","8e02145a-8282-43bf-b26f-9403ba7b9b4b","74","196.03516","72.22513","43","394","MULTI_DIFF","AVERAGE"
"1","1000","5d6ca3ca-cb87-4220-8b2b-cc2845274451","55b0eefc-a11f-41a1-97c4-bcba3b332b0e","4de97ea4-49eb-400e-89db-024a38632d4c","87","196.03516","71.54544","46","392","MULTI_DIFF","AVERAGE"
"1","1000","d60887fc-5c7f-478f-8695-6fc39b86864f","6231f920-8b76-49dc-b4cb-f427c9191ddf","fad2f1d9-4739-48ed-a44f-4e04f314b61c","81","196.03516","70.91263","47","388","MULTI_DIFF","AVERAGE"
"1","1000","b2a4c14b-034a-467d-b9b3-fd34faae0ef1","eab9e795-7a06-4d7d-bd4e-51cde4c0f9da","6a4d872b-a957-4967-850f-4f13e88f7ea5","90","196.03516","70.2095","49","383","MULTI_DIFF","AVERAGE"
"1","1000","994d9be0-6a07-4e4b-85f0-cd0ca528d4bb","b61c8e37-38f3-4be8-8b4e-5d226a3f0e06","aaba9713-0cf7-4f80-a311-d4fe6b327acf","89","196.03516","69.51419","51","375","MULTI_DIFF","AVERAGE"
"1","1000","f1555279-dbca-4053-8b17-f95df197b5f6","4de0384d-5d6c-4c28-8882-9f862e5e2805","38749401-a528-424f-ba26-6a499a3cd0b6","88","196.03516","68.82669","53","374","MULTI_DIFF","AVERAGE"
"1","1000","2953039f-9263-43fc-be0b-90bb6de1ee15","1cf02e3e-1b2d-4e95-9e48-ce4a83ff47c2","f68262be-e0dd-4dde-a8c3-21194364a80f","81","196.03516","68.19388","58","373","MULTI_DIFF","AVERAGE"
