"block","totalContainers","sourceNode","destinationNode","containerID","containerCPU","averageCPU","stddevCPU","minCPU","maxCPU","algorithm","testCase"
"0","1000","","","","","196.03516","80.147","0","520","SINGLE","AVERAGE"
"1","1000","bb1780a3-b922-41ea-8dfd-2e0f8aa7bbdb","3afe6060-ac21-4dec-bd72-98f16f3795bf","e4ff5547-4d3c-4ebd-8c61-82fc51fb06e0","90","196.03516","79.44388","0","463","SINGLE","AVERAGE"
"2","1000","78fc2b69-61a0-43a7-b5b4-0593803fb6e4","c54c6eb9-2dbd-4498-bf11-9f154d01cc85","fc8c7b1a-8e5f-44ed-b780-fd21cef1f543","90","196.03516","78.74075","10","456","SINGLE","AVERAGE"
"3","1000","504c6ccf-ec6f-40bc-a084-2b39b4b95c43","312d2f7d-6a22-4f0a-af4d-ba950de21d53","8e1a7b84-70c4-4f69-9b2d-c66a51b581f3","89","196.03516","78.04544","12","437","SINGLE","AVERAGE"
"4","1000","41a9a4e1-577f-4593-80ce-0de27f6c8456","581456f4-b9d2-40ce-a137-f58c0d565dba","50090421-8330-4cb8-b9e8-4f79f8693b34","84","196.03516","77.38919","19","436","SINGLE","AVERAGE"
"5","1000","a080a0cd-ec8a-444a-8c81-f103aebda9a9","55779f96-b2cd-46b1-a36a-765f165f2966","ae161dea-2e40-4ea0-8fb7-7664e4705b73","81","196.03516","76.75638","28","430","SINGLE","AVERAGE"
"6","1000","bb1780a3-b922-41ea-8dfd-2e0f8aa7bbdb","d0d8bbd3-adb1-42dc-af06-ee3090fcba4d","2ee6b739-379e-42a8-b077-b1c86b487a66","88","196.03516","76.06888","28","427","SINGLE","AVERAGE"
"7","1000","6fd20565-9334-4fe8-8013-3cacd3969104","36bb2f9e-555f-4290-9019-d9a364353f5c","28a242c9-68e9-4003-8c9e-ebf0e0cd2f75","90","196.03516","75.36575","34","426","SINGLE","AVERAGE"
"8","1000","dbcfc34b-9900-4029-a045-0f64d393fce7","331baf05-39d4-44de-884e-a9a18d241fb6","96d485da-951a-46c6-b345-ccf366816525","81","196.03516","74.73294","36","422","SINGLE","AVERAGE"
"9","1000","332027db-f8ad-44f5-9279-f22eca0fca02","66fc528e-083c-4b66-b413-22a16979cc4a","a44e175a-c4a1-4dcb-8f06-347967734aef","70","196.03516","74.186066","39","416","SINGLE","AVERAGE"
