"block","sourceNode","destinationNode","containerID","containerCPU","averageCPU","stddevCPU","minCPU","maxCPU"
"d78ac514-42ff-4dc9-a64a-d3b612edbc9c","bb9f667a-745c-47dc-a090-58b4204fb05a","933625f8-fc32-4408-8429-1784764d40cb","46fad921-dbf7-4c51-b4a7-ca58018f702a","5","68.6","18.98","5","91"
"d78ac514-42ff-4dc9-a64a-d3b612edbc9c","4c413871-133e-4aea-aeeb-03b634ac0637","014aeb10-6a0b-4d84-8984-8ed5494df99d","caf55694-d4b9-4e4b-bceb-a0a7f0acd408","6","68.6","18.380001","5","91"
"d78ac514-42ff-4dc9-a64a-d3b612edbc9c","e20b9915-3e62-4468-8d72-940950315188","a69881bc-fd28-4bf3-aee4-342aecf67063","048ffe75-09f6-4aaa-9e31-626253856ca3","22","68.6","16.24","5","91"
"d78ac514-42ff-4dc9-a64a-d3b612edbc9c","998e56c0-b11a-4c0f-90ef-8a8a239ba87b","b8aa843b-e8c7-40e0-868d-fd1495ca4697","39ede643-32c0-4bb7-8146-1cd67704e296","18","68.6","14.68","5","91"
"d78ac514-42ff-4dc9-a64a-d3b612edbc9c","60f03cdf-b112-4120-be74-342a9f1a78f6","431cedd4-7f81-42a2-95b2-b7a130a46664","17be97a1-1106-40da-9f5d-11624016815c","6","68.6","14.08","5","91"
"d78ac514-42ff-4dc9-a64a-d3b612edbc9c","76216c18-2c57-460d-8325-afe2aa13f733","4cf02848-dadd-4e44-a5f8-45f0caa0b00d","7bdfae5c-dd80-439f-ad3d-e16f3df3dadd","10","68.6","13.42","5","91"
"d78ac514-42ff-4dc9-a64a-d3b612edbc9c","1e7b424e-61ce-44a6-a126-c7cbf4cfd6e4","408c18af-37d8-4561-ba8b-b6f84d1b362e","5715c16f-7523-45b4-9249-feb85cbe76b4","6","68.6","13.159999","5","91"
"c8ccd7cd-8f9a-42b5-b42e-37d1fbefd9dd","bb9f667a-745c-47dc-a090-58b4204fb05a","933625f8-fc32-4408-8429-1784764d40cb","189467aa-c0c3-47fd-936a-ba4b83a511e1","11","68.6","12.059999","16","86"
"c8ccd7cd-8f9a-42b5-b42e-37d1fbefd9dd","a121ddfd-71dd-43e6-b204-b0f2e3815365","014aeb10-6a0b-4d84-8984-8ed5494df99d","406ed615-9517-4731-ac96-763b02d782ad","38","68.6","10.359999","16","85"
"c8ccd7cd-8f9a-42b5-b42e-37d1fbefd9dd","4c413871-133e-4aea-aeeb-03b634ac0637","a69881bc-fd28-4bf3-aee4-342aecf67063","cefba25d-331a-4e62-b7e2-c8e6a48ac044","8","68.6","9.559999","16","81"
"c8ccd7cd-8f9a-42b5-b42e-37d1fbefd9dd","60f03cdf-b112-4120-be74-342a9f1a78f6","431cedd4-7f81-42a2-95b2-b7a130a46664","52071d0e-309f-40c4-bd00-2f174d8fb9c4","18","68.6","9.159999","16","81"
"c8ccd7cd-8f9a-42b5-b42e-37d1fbefd9dd","588e572f-b253-47f9-a0fd-6702652a4d0b","a51e5526-035e-444b-a2e8-7ec66f0505be","c2957bf8-fc71-42c8-a456-5602adc3d9e6","7","68.6","9.0","16","81"
"c8ccd7cd-8f9a-42b5-b42e-37d1fbefd9dd","990e5249-03c3-4187-9a6a-d58b1d58db6e","e20b9915-3e62-4468-8d72-940950315188","258e9398-2f2b-4754-8ed7-0efb3388bc2d","10","68.6","8.94","16","81"
"c8ccd7cd-8f9a-42b5-b42e-37d1fbefd9dd","1e7b424e-61ce-44a6-a126-c7cbf4cfd6e4","df5c7e8f-6a24-45e6-a61d-2de3cf2c394a","d31d9102-b392-4bb1-9b1b-f1d017854033","8","68.6","8.94","16","80"
"8a8fefd2-034f-4c3d-96a2-42ac9cae3575","bb9f667a-745c-47dc-a090-58b4204fb05a","933625f8-fc32-4408-8429-1784764d40cb","78d3425a-3f08-4947-9960-3d87f4dcbf3f","34","68.6","7.8","46","78"
"8a8fefd2-034f-4c3d-96a2-42ac9cae3575","e20b9915-3e62-4468-8d72-940950315188","a121ddfd-71dd-43e6-b204-b0f2e3815365","258e9398-2f2b-4754-8ed7-0efb3388bc2d","10","68.6","6.8600006","46","77"
