"block","totalContainers","sourceNode","destinationNode","containerID","containerCPU","averageCPU","stddevCPU","minCPU","maxCPU","algorithm","testCase"
"0","10","","","","","2.3085938","4.4368286","0","89","MULTI_DIFF_IMPROVED","AVERAGE"
"1","20","2a23eff3-9be0-44bd-be69-351afd30f898","2209c9f8-a8b0-4d94-b4fb-d6cfad48d00c","cb3e3631-6d7c-4907-ab59-20d9835efbed","89","4.6171875","8.837585","0","176","MULTI_DIFF_IMPROVED","AVERAGE"
"1","20","093eb8b8-0165-45b1-9a0a-314b3376c8e8","aca7478b-71d0-4de8-a10a-76f04d8a7475","1770a4d1-cdca-4dbc-8638-c608f75fc5e8","88","4.6171875","8.801514","0","146","MULTI_DIFF_IMPROVED","AVERAGE"
"1","20","fbc45b01-0a3b-430e-b240-66541483860a","4c6c1c32-3ece-4aed-91fc-c009e84b9bf1","fdc136bc-1555-43a1-b08a-57edd042d05d","73","4.6171875","8.765442","0","140","MULTI_DIFF_IMPROVED","AVERAGE"
"1","20","db84a97b-95c3-4461-8cb3-af5a5ecbc8c7","8fce1e94-49ca-49c3-91b1-d65e5f736f83","1ab83384-5b73-4e90-a739-a90f7b1e47d9","70","4.6171875","8.72937","0","134","MULTI_DIFF_IMPROVED","AVERAGE"
"1","20","1227e3c0-7acf-4a0c-84f1-d4b66f12c1f7","ea9150f1-bd5d-4639-9cdf-3d1ad8156dc7","911a08e1-b71d-41e6-957e-b662e481e12a","67","4.6171875","8.693298","0","124","MULTI_DIFF_IMPROVED","AVERAGE"
"1","20","3a11abab-797d-4b87-8b8a-f22a571bc8b8","e55c199a-9251-4bdf-a3bb-fe12b3520b4c","edf7388e-b8a0-48dd-8d91-9290b5a6c7e5","62","4.6171875","8.657227","0","94","MULTI_DIFF_IMPROVED","AVERAGE"
"1","20","e4257016-c919-488d-8cc1-9c1b7d94759f","637d9c59-1668-4d18-84be-5df4d28ad803","0a725a3e-0e39-49d6-a0ca-ee49ac162dc5","47","4.6171875","8.621155","0","89","MULTI_DIFF_IMPROVED","AVERAGE"
"2","30","2a23eff3-9be0-44bd-be69-351afd30f898","6ca1dac4-03d4-4cc3-8bcf-9e1403f2ea3a","d3c98b5c-1e77-43ae-83ba-f8d64e6271b9","89","6.9257812","12.8776245","0","176","MULTI_DIFF_IMPROVED","AVERAGE"
"2","30","093eb8b8-0165-45b1-9a0a-314b3376c8e8","50cf8286-053f-4da5-8bea-6a387a3c4772","70b173a9-0f21-415a-8621-f960a20fdb62","88","6.9257812","12.823517","0","146","MULTI_DIFF_IMPROVED","AVERAGE"
"2","30","fbc45b01-0a3b-430e-b240-66541483860a","dfe0a912-a150-48a8-9b2c-0e94c70fbda0","ac9b9e41-79c7-4257-a738-028e56282475","73","6.9257812","12.769409","0","140","MULTI_DIFF_IMPROVED","AVERAGE"
"2","30","db84a97b-95c3-4461-8cb3-af5a5ecbc8c7","6b1a252f-0946-4d31-9797-6e558814d928","937bd06f-3bb1-4c9d-bd5b-031cf00e1a8f","70","6.9257812","12.7153015","0","134","MULTI_DIFF_IMPROVED","AVERAGE"
"2","30","1227e3c0-7acf-4a0c-84f1-d4b66f12c1f7","93d28739-f2d1-4d75-9f0f-956628706b2d","daeb23e8-897b-45c9-b11a-26cbce859649","67","6.9257812","12.661194","0","124","MULTI_DIFF_IMPROVED","AVERAGE"
"2","30","3a11abab-797d-4b87-8b8a-f22a571bc8b8","ac548c5e-fc2c-4471-9c18-bedfdd26f46f","5e65efcb-c682-47b2-ab87-8a3ac776f374","62","6.9257812","12.607086","0","123","MULTI_DIFF_IMPROVED","AVERAGE"
