"block","totalContainers","sourceNode","destinationNode","containerID","containerCPU","averageCPU","stddevCPU","minCPU","maxCPU","algorithm","testCase"
"0","10","","","","","2.3085938","4.4368286","0","89","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","20","7d5ebf22-ae3a-4349-a23b-0a64cb845aec","8f606927-b088-406c-b9f2-a1ce32076219","42cab241-0527-4256-8c70-5a978c9fd912","89","4.6171875","8.837585","0","176","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","20","5c19c250-a643-402c-af00-bb4cb737266a","b573b78b-bbea-47f2-9596-d2f2fe2189d9","9c5ccace-4a88-4866-9800-54f085eb6fbf","88","4.6171875","8.801514","0","146","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","20","e10662e1-21ba-4429-bf7f-3faa5b9efd6d","b1c34de8-495f-4a9c-8608-117bc4579553","82fd568d-2eba-483d-829c-270ebe70c8a7","73","4.6171875","8.765442","0","140","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","20","3e0f1e5e-1e46-4ed3-a30a-b8e219e2673b","3cec71a9-3515-4315-adf4-a7464bde1ac6","155513c3-4f8b-41c9-a9f0-b19f76a081ad","70","4.6171875","8.72937","0","134","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","20","c19f0d91-b3c6-478f-af85-169884900072","38db1141-d05e-4324-9466-f0ac6de8a2bd","76ef6971-9ccb-474e-88f2-a0287bb891b8","67","4.6171875","8.693298","0","124","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","20","570e0035-c031-4871-a7e3-c39c3a6d48c2","354f77c6-d734-4f05-a6e9-3a5e34383fa3","2186b216-507c-4d86-9ec4-eb577797b2c3","62","4.6171875","8.657227","0","94","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","20","5e286e84-2a19-4b19-86e5-219a3e46b043","edb277ae-d51e-4251-b815-da0cf890290b","0c7e0ddd-d0bd-4557-bbbd-3ce8e5362154","47","4.6171875","8.621155","0","89","MULTI_STDDEV_IMPROVED","AVERAGE"
"2","30","7d5ebf22-ae3a-4349-a23b-0a64cb845aec","ee75d706-a2ed-49c5-8bef-40c011b7670b","7b3c4651-0543-4956-88ea-9492c2e2609f","89","6.9257812","12.8776245","0","176","MULTI_STDDEV_IMPROVED","AVERAGE"
"2","30","5c19c250-a643-402c-af00-bb4cb737266a","8cfbe24c-a753-4961-9fc2-f6363d54fa3a","1a7029eb-518d-426a-9687-a86929d2ed40","88","6.9257812","12.823517","0","146","MULTI_STDDEV_IMPROVED","AVERAGE"
