"block","totalContainers","sourceNode","destinationNode","containerID","containerCPU","averageCPU","stddevCPU","minCPU","maxCPU","algorithm","testCase"
"0","10","","","","","2.3085938","4.4368286","0","89","MULTI_DIFF_IMPROVED","AVERAGE"
"1","20","2342cd14-41e8-4b54-9ba2-dd2313394d45","df464eda-026d-46b9-9415-e2b07f9cfc14","3a4cb579-b710-4656-b984-2673559348be","89","4.6171875","8.837585","0","176","MULTI_DIFF_IMPROVED","AVERAGE"
"1","20","26884a20-27a9-4d6f-ad0f-dac5963eab55","4ea65c4d-ad7b-4a55-bed4-623a22d2874a","70ce549d-f277-4732-8769-3c6718458797","88","4.6171875","8.801514","0","146","MULTI_DIFF_IMPROVED","AVERAGE"
"1","20","c3605b51-0430-4f73-a7a6-cf791191b0bb","dec64346-30c6-4701-941b-31969018670e","d327e65f-cd9b-4b7e-9cdd-3d031147e4ee","73","4.6171875","8.765442","0","140","MULTI_DIFF_IMPROVED","AVERAGE"
"1","20","ad0873fa-2949-4831-962f-b6da4ed87832","11ef1a44-2267-487d-9bcd-b17d7a7253e9","cb60760a-3bd6-4cfb-a29d-a1e75bbeac38","70","4.6171875","8.72937","0","134","MULTI_DIFF_IMPROVED","AVERAGE"
"1","20","0187a832-b394-4f73-9383-98c57d679960","7acc79ce-1934-48b8-9add-a2aea0d434eb","61ac4466-e66f-4e1a-a9e5-f37095e3a917","67","4.6171875","8.693298","0","124","MULTI_DIFF_IMPROVED","AVERAGE"
"1","20","dc8a8d1f-0438-47ee-bc30-eb91fde62afa","b142b8c4-b9df-46c9-969d-367cc4f3dd42","bc216e51-8c5b-42d4-af38-da0f408fefff","62","4.6171875","8.657227","0","94","MULTI_DIFF_IMPROVED","AVERAGE"
"1","20","3694c76d-e9b5-49f3-8597-241ec0f7545e","387eaec7-8eda-422c-ac34-79c02ef95b79","3c328876-a07a-4fa3-a9df-572394d72bc3","47","4.6171875","8.621155","0","89","MULTI_DIFF_IMPROVED","AVERAGE"
"2","30","2342cd14-41e8-4b54-9ba2-dd2313394d45","109691bd-99de-4d19-a2a7-e83554df41b5","56830ddc-270e-48af-b445-b8ea2b8bb821","89","6.9257812","12.8776245","0","176","MULTI_DIFF_IMPROVED","AVERAGE"
"2","30","26884a20-27a9-4d6f-ad0f-dac5963eab55","89115869-539b-4c6c-a5ed-23afff0f428b","0c8c333c-3349-465c-8ced-e0a389d24439","88","6.9257812","12.823517","0","146","MULTI_DIFF_IMPROVED","AVERAGE"
"2","30","c3605b51-0430-4f73-a7a6-cf791191b0bb","c20881e8-5a35-439c-992d-98081d155e09","8f573496-3083-4454-82ec-bf78e5dafc96","73","6.9257812","12.769409","0","140","MULTI_DIFF_IMPROVED","AVERAGE"
"2","30","ad0873fa-2949-4831-962f-b6da4ed87832","9a9630e0-1fb9-4cd6-908f-50f086a5393b","fd2aaba2-bc0d-4f56-b88d-929d61eac3bb","70","6.9257812","12.7153015","0","134","MULTI_DIFF_IMPROVED","AVERAGE"
"2","30","0187a832-b394-4f73-9383-98c57d679960","4a5493e6-969e-421a-a6c2-33bb27200f6c","403dffe4-2c79-4e43-bf7d-96cb564ab2f2","67","6.9257812","12.661194","0","124","MULTI_DIFF_IMPROVED","AVERAGE"
"2","30","dc8a8d1f-0438-47ee-bc30-eb91fde62afa","688dd22f-5057-4372-8784-16fe38c09444","2ebbf873-0c42-4057-8edf-5a9ed005df7b","62","6.9257812","12.607086","0","123","MULTI_DIFF_IMPROVED","AVERAGE"
"2","30","feb43eee-1c0d-4ded-9503-f4dd97ad081a","ef7aa372-c515-4ee8-92ad-c52005a64b1a","07f0f650-36eb-4a78-81f8-12920631c05c","41","6.9257812","12.5529785","0","117","MULTI_DIFF_IMPROVED","AVERAGE"
"2","30","e4c8ea9d-6e25-4d6d-a7dd-3830de5daa5f","f4320ce1-4702-4aa6-b1b2-7367c3fc9871","05a56a9f-56e4-4e6e-be85-8bb1b5d55ff5","39","6.9257812","12.498871","0","94","MULTI_DIFF_IMPROVED","AVERAGE"
"2","30","3694c76d-e9b5-49f3-8597-241ec0f7545e","4a20940d-6575-46d0-90b9-1e2fc3471159","69659b38-a976-45ac-858e-6d381a78739c","47","6.9257812","12.444763","0","89","MULTI_DIFF_IMPROVED","AVERAGE"
"3","40","2342cd14-41e8-4b54-9ba2-dd2313394d45","69ac34cd-758f-4ad8-94ad-892c27aeedc5","17dc53ca-0c80-4a30-b047-a5a04cb9bb94","89","9.234375","16.520874","0","176","MULTI_DIFF_IMPROVED","AVERAGE"
"3","40","26884a20-27a9-4d6f-ad0f-dac5963eab55","48e1dae2-d4b9-4203-8e74-a5a9b140dbc0","947600d2-7896-43b1-b529-3c2b63ff3c8b","88","9.234375","16.44873","0","146","MULTI_DIFF_IMPROVED","AVERAGE"
"3","40","c3605b51-0430-4f73-a7a6-cf791191b0bb","9d703c76-f587-48b8-a9a7-33b7f8b18bb7","b5653ce2-3058-4a90-a437-67f96f5cbb58","73","9.234375","16.376587","0","140","MULTI_DIFF_IMPROVED","AVERAGE"
"3","40","ad0873fa-2949-4831-962f-b6da4ed87832","ef794f79-482f-43b3-85aa-1433421d3425","a54aded8-ac05-4658-a68c-b98f0c99d458","70","9.234375","16.304443","0","134","MULTI_DIFF_IMPROVED","AVERAGE"
"3","40","0187a832-b394-4f73-9383-98c57d679960","35e66002-0086-4c07-bc33-7775e30e80d9","e2ec1d09-2f39-4625-88ed-9bf7b59939cd","67","9.234375","16.2323","0","124","MULTI_DIFF_IMPROVED","AVERAGE"
"3","40","dc8a8d1f-0438-47ee-bc30-eb91fde62afa","456a9650-5f38-401c-ac45-f9d5f61545b1","d79362b6-fa2b-4066-ab3c-ffee625cc0df","62","9.234375","16.160156","0","123","MULTI_DIFF_IMPROVED","AVERAGE"
"3","40","feb43eee-1c0d-4ded-9503-f4dd97ad081a","71de2ab0-833a-4455-93c4-c1d6309e6e8d","65ad5740-074d-420d-997f-c497def16a24","41","9.234375","16.088013","0","117","MULTI_DIFF_IMPROVED","AVERAGE"
"3","40","e4c8ea9d-6e25-4d6d-a7dd-3830de5daa5f","f84412f7-259e-4d9a-9b32-41a83f494b7d","b5d37374-3c5c-4c16-be60-1fe4db6d1a51","39","9.234375","16.01587","0","94","MULTI_DIFF_IMPROVED","AVERAGE"
"3","40","3694c76d-e9b5-49f3-8597-241ec0f7545e","90d47d15-98ba-4511-a4e6-ad3f71acd30b","c9f46737-3b65-48b6-b272-7ab2d25841c3","47","9.234375","15.943726","0","89","MULTI_DIFF_IMPROVED","AVERAGE"
"4","50","2342cd14-41e8-4b54-9ba2-dd2313394d45","8f5d7fc4-50f4-4ce0-9530-6a59248cf559","5ec0231b-0f9b-4586-a13d-99fecc92a7f0","89","11.542969","19.839478","0","176","MULTI_DIFF_IMPROVED","AVERAGE"
"4","50","26884a20-27a9-4d6f-ad0f-dac5963eab55","ecf7f196-13a8-4e5b-9161-fc00a8ca4e83","1824a5e4-0179-43f1-8d6b-c60bbfac557b","88","11.542969","19.749298","0","146","MULTI_DIFF_IMPROVED","AVERAGE"
"4","50","c3605b51-0430-4f73-a7a6-cf791191b0bb","cb0cc922-2dbc-47bd-8664-0602069e1f7e","ccb3eea4-30a6-4fd6-8824-e4d333967882","73","11.542969","19.659119","0","140","MULTI_DIFF_IMPROVED","AVERAGE"
"4","50","ad0873fa-2949-4831-962f-b6da4ed87832","880d810b-c56a-464a-89c8-26a123b13249","37a5ddf3-bee6-42a0-9e88-2ae9c8055796","70","11.542969","19.56894","0","134","MULTI_DIFF_IMPROVED","AVERAGE"
"4","50","0187a832-b394-4f73-9383-98c57d679960","8405787e-2754-4599-9959-041696cd8d6c","a0ab153c-8e91-4f49-bea1-762aa67232a2","67","11.542969","19.47876","0","124","MULTI_DIFF_IMPROVED","AVERAGE"
"4","50","dc8a8d1f-0438-47ee-bc30-eb91fde62afa","ec49b62f-0fd5-4810-8da1-f03a14012d22","910f18d2-0cad-4f7d-ba82-6dc60ea69ca6","62","11.542969","19.38858","0","123","MULTI_DIFF_IMPROVED","AVERAGE"
"4","50","feb43eee-1c0d-4ded-9503-f4dd97ad081a","a8d45b5e-bb05-43ba-b8c0-f7d9abd08a44","a7e6da47-381c-4412-b6db-be94590487ba","41","11.542969","19.2984","0","117","MULTI_DIFF_IMPROVED","AVERAGE"
"4","50","e4c8ea9d-6e25-4d6d-a7dd-3830de5daa5f","fd71520b-28ee-434a-9254-c320fdb18efc","cd1be4b2-eac0-4237-8b95-6c1412f4f239","39","11.542969","19.208221","0","94","MULTI_DIFF_IMPROVED","AVERAGE"
"4","50","3694c76d-e9b5-49f3-8597-241ec0f7545e","90490aed-f09a-4c55-8d21-c9587c2aa8f1","25f6b063-07cd-48fe-875d-e98f5eb006d2","47","11.542969","19.118042","0","89","MULTI_DIFF_IMPROVED","AVERAGE"
"5","60","2342cd14-41e8-4b54-9ba2-dd2313394d45","f8d7fa7c-b3f7-4a36-90dc-d823a39ecb5e","3c4eab76-21a4-435a-a91a-0f5ddb7fc8a8","89","13.8515625","22.833435","0","176","MULTI_DIFF_IMPROVED","AVERAGE"
"5","60","26884a20-27a9-4d6f-ad0f-dac5963eab55","34d4af26-78d6-4b05-ae10-eb59c525c543","44dc7908-a608-49a1-887a-6cef6cdd48eb","88","13.8515625","22.72522","0","146","MULTI_DIFF_IMPROVED","AVERAGE"
"5","60","c3605b51-0430-4f73-a7a6-cf791191b0bb","5a744ac6-17df-4059-9150-64b6fcbc2d18","8f9be20d-1326-4801-963d-12d4946e3a6e","73","13.8515625","22.617004","0","140","MULTI_DIFF_IMPROVED","AVERAGE"
"5","60","ad0873fa-2949-4831-962f-b6da4ed87832","08278ad3-0a9b-4429-8a17-876fef40f076","f830bd72-a9fa-402b-827d-46cb2893bb17","70","13.8515625","22.50879","0","134","MULTI_DIFF_IMPROVED","AVERAGE"
