"block","totalContainers","sourceNode","destinationNode","containerID","containerCPU","averageCPU","stddevCPU","minCPU","maxCPU","algorithm","testCase"
"0","1000","","","","","194.51172","75.10983","0","544","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","bdc7dbcd-4e48-4164-9c63-da7cbf0adad1","eb9faac3-78ff-4f72-bd63-add58c26f706","326bcdb3-c9f8-4c9c-83f1-c99b1b6f40ca","90","194.51172","74.40671","16","477","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","3dc26f0a-6d72-4af4-a087-c42c34dac364","ba7ccce0-099d-431a-9fc1-b4b75a3fcf77","f37a58b8-b47c-4a53-96bc-95b24c711d64","84","194.51172","73.75046","24","454","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","bdc7dbcd-4e48-4164-9c63-da7cbf0adad1","31e5392e-cd42-4ced-ba14-ebc7ea8611b9","f7ad09fc-c3c9-4ef1-9dc4-cc1aaca419e3","85","194.51172","73.086395","25","445","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","e0d6403e-e6f0-4644-b8b4-80f339c8255e","f83f2583-9f1f-4559-b89f-1f3b35ba1d84","0ff2e795-d461-4ca1-8085-e6a3bd2743eb","87","194.51172","72.40671","27","420","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","5363c7e6-dd71-4f64-8a0d-15cdb650540e","028aa9b6-ce76-47e4-9e2d-07649b7d7143","8955ef44-6bff-48d8-9cd4-cabfd9146d92","84","194.51172","71.75046","30","416","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","67c030be-5e5f-45d8-b687-ce695ed0583a","d6b5f1b1-95b1-4e4c-968e-d1c839e5ed54","fb53ebb8-256a-4830-8a35-afc75e08d39e","86","194.51172","71.07858","30","414","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","b896db04-1808-4c24-9977-cd1c93257061","74c1ac24-316a-42e4-ad8b-63e74732a571","cc5182cc-3d93-4a1b-bdae-c4101b84785b","89","194.51172","70.38327","36","414","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","7e6f686f-9588-4b74-9c57-a356348d8cb2","d8750e7d-fa6c-492a-9e26-c1faa5521545","87afa2f6-8cb7-4b69-984c-fbc5277f77c0","89","194.51172","69.68796","40","397","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","7dd70fb2-8f03-44a3-960c-6cb9567380ce","cd873251-8d70-493c-bf47-5a03263bd5f2","e1d3c150-6d5b-4111-88ac-16db6a5b5b2b","84","194.51172","69.03171","40","393","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","3dc26f0a-6d72-4af4-a087-c42c34dac364","fdbe733f-b416-484f-a8e6-f55ec8bea0cb","902d1d32-7b46-4dc9-9f10-5e5425bcd2f8","81","194.51172","68.398895","43","390","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","0fd95d82-5c39-42e9-bcc8-d30d07bee130","5de61e57-f211-4348-8acd-22cdbad99431","57e795e1-c696-43a4-b938-d70917632da1","90","194.51172","67.69577","44","371","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","971d3505-db21-42a1-bd3c-0710b44cee98","cfa8f6b7-d9a5-4395-a1e1-e85eb42deb9e","e49429ac-e3f6-416b-8102-d045ccbe3d7a","88","194.51172","67.00827","49","369","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","bdc7dbcd-4e48-4164-9c63-da7cbf0adad1","0718aeec-1540-426c-9113-a76d90d06abd","b2106562-be94-4f79-ad71-bff89024673e","84","194.51172","66.35202","50","368","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","ada32459-da23-4332-a8a2-faf9fef088e6","c0bfdf0d-2316-4bf6-9b12-ed56e04e9620","ea5e07f3-7fe0-43eb-812b-4bf5c346d298","90","194.51172","65.648895","52","360","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","edde1c85-24f2-4347-9897-6db7874efa3b","0c1abe5c-0b71-451a-a047-5eebc00e8c34","9e27ea4a-6d37-43b3-b0b2-0b60448792a2","84","194.51172","64.992645","53","358","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","e0d6403e-e6f0-4644-b8b4-80f339c8255e","5e8af495-89e7-4cc6-bc1f-11a212af896f","07b85541-f7db-40e2-82f6-83c2b1079a7c","83","194.51172","64.34421","54","354","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","fbfe6e1b-11c5-4eb0-a25c-a08282e56032","6a567106-1686-4fa6-9fab-ba8e022b2f66","b991ab7c-720a-472e-8698-c965b74e7d9e","78","194.51172","63.734833","55","349","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","96039974-3ba9-41b2-b379-17095af9b439","05e4c0e7-15e0-4451-be3e-3e6513742389","238b65be-cd95-4f2a-973d-980f83576249","87","194.51172","63.055145","59","348","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","70cdc3aa-18b0-481b-bdde-a422e520a043","3c9e551f-5b60-4911-8a44-493b5974e43b","a3417743-f9e1-411b-b9cc-d6fe99294f33","78","194.51172","62.44577","63","345","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","4b3f385c-c49b-49c0-9247-95c2b5346a51","66372edb-5aa3-4816-8c85-941c8b8fd6c6","d4a17b61-14f6-410a-b261-fa7ab56880a7","78","194.51172","61.836395","64","342","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","2f46307b-63f1-4541-b569-decdfdc6702b","91da0911-7b6e-4e08-b7c5-be0832272a0d","8509484d-f87d-464a-bcef-e71faca55afc","88","194.51172","61.148895","65","340","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","e924f9d0-9060-4231-9908-5e7347846f11","726c7350-68aa-4eff-acbe-cfcc3ec1df45","5618d2f2-e013-4711-9eb6-9e2a5dadace1","69","194.51172","60.609833","65","340","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","00f1b63a-b40c-4aa6-b440-81fb1b71cf3e","62b66d97-e5df-4d53-8aaf-3b61f275e518","9f44b2f9-d3cc-4fb8-877f-c22d54ad3da3","82","194.51172","59.969208","69","336","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","5363c7e6-dd71-4f64-8a0d-15cdb650540e","06213752-95a9-42ce-a30b-ed00d0bd70f9","2cd76c83-a26d-4f6d-8ece-9d4cb309a849","78","194.51172","59.359833","74","334","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","d8cef358-5e48-4d01-93aa-c871600e3e5a","d3cf91f1-bbce-4e83-b661-5ba7714733f8","09325949-b969-4ff6-a01b-2d115167972d","89","194.51172","58.66452","75","330","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","67c030be-5e5f-45d8-b687-ce695ed0583a","c6ae99be-fc8b-4500-8204-d1e204ed1f6d","9a97b7fb-da20-4d91-b0cc-c09dc699e52b","81","194.51172","58.031708","80","325","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","b896db04-1808-4c24-9977-cd1c93257061","6e711dba-5200-44ed-a9a1-dd1a6a7d24de","b1138ab6-78f8-4a89-9a75-233c846e1a1a","73","194.51172","57.461395","80","325","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","7e6f686f-9588-4b74-9c57-a356348d8cb2","0da413f4-475b-45e6-8b38-25eb370fcf6a","0361f238-be01-4d19-93d3-13f82944ed71","82","194.51172","56.82077","82","325","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","901c8e59-10be-4cea-972c-5f89ebf0a009","8a4d4342-e33f-4155-af22-b86cb8fe03cb","e96a23a5-d3a3-4da8-ba36-bab09be3312d","72","194.51172","56.25827","83","324","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","a4eb109b-01a3-4c2b-8bb3-12f25e8612f8","f1b7f6a3-762f-4c80-82af-8786f41b93f0","cfd4ae80-9a56-4615-a0d0-78032c60ae5e","80","194.51172","55.63327","85","324","MULTI_DIFF_IMPROVED","AVERAGE"
