"block","totalContainers","sourceNode","destinationNode","containerID","containerCPU","averageCPU","stddevCPU","minCPU","maxCPU","algorithm","testCase"
"0","1000","","","","","194.51172","75.10983","0","544","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","d9721a01-8c80-442c-a0ad-181781c2cade","aa5b8f77-b377-4c3b-9841-95ff3421ade8","14585692-b4c1-4ac5-985f-bb7d36c8310c","90","194.51172","74.40671","16","477","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","cc34c51f-35f3-4536-a9b6-0cf2cf2796c0","aa4d7570-14fb-4f49-bde3-080ea37a6674","b6d85e2b-855f-4945-a0b6-a702a10826a1","84","194.51172","73.75046","24","454","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","d9721a01-8c80-442c-a0ad-181781c2cade","b978ff0d-4edb-4f02-9f5a-dda81887760f","fd4a75ca-02aa-4e39-af8c-e3d7692ffff1","85","194.51172","73.086395","25","445","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","29b70cc7-431a-4b31-91f0-3dd96d25d062","9767f09b-7a7d-4a92-ba96-b6428e0a0690","be34f512-cfbc-4c0a-823e-b64d3fce5f09","87","194.51172","72.40671","27","420","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","daf6fed2-fa95-4407-ae0c-5d3fb9022430","4fda85b2-5485-43f3-b6eb-984ae98185d7","b23e3516-848d-4d9b-b2fc-c14338287449","84","194.51172","71.75046","30","416","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","1200dc99-fb05-4da0-853d-62e0389f5614","c62bf5d8-f22f-4c2b-8f10-a492e1b75cc0","cb3c8444-aa00-46ad-b351-296f19a5f7c3","86","194.51172","71.07858","30","414","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","52b14aa5-5e6a-4fd4-ad25-07a068e3bc26","4af571a1-f96e-4329-86a2-a1574d8a48f4","50b259a4-e420-48c8-9ef2-16397b57acc3","89","194.51172","70.38327","36","414","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","237c26e4-e5ca-4943-bbf9-8c032d421f7b","80076f22-d29a-41e0-bd3d-163e66e3eb7a","d84093b7-2a8d-4a6e-b27b-d3cd9a8c15d4","89","194.51172","69.68796","40","397","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","c139766f-9c27-48bb-a63b-19b156222cbc","3a40e971-a869-47be-b2d6-92ebde14cb8e","16157e37-523f-46d4-bff5-d32b87136dfd","84","194.51172","69.03171","40","393","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","cc34c51f-35f3-4536-a9b6-0cf2cf2796c0","a45dca30-5bb2-4590-b43d-a794736f8579","75fea5b9-b724-4a9d-9ab7-3ca9236352f6","81","194.51172","68.398895","43","390","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","d109022d-19bc-4490-b2d5-8b779325c4d0","6364269d-3f45-497c-b605-ba5dcd31f785","a1e7be34-d38b-4204-ac5d-69fb088f8547","90","194.51172","67.69577","44","371","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","b51747a1-b89c-4579-83e3-0ae1ef2ac900","7b309da4-f91b-430c-bf0c-97cf7bfc2209","573e1d2b-6416-45f4-a336-d93e8152c2f5","88","194.51172","67.00827","49","369","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","d9721a01-8c80-442c-a0ad-181781c2cade","3ee262e3-29c7-4293-b764-0fea5ce0eec0","b8742680-926b-48c9-aa4d-821302c82bbb","84","194.51172","66.35202","50","368","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","3f3622db-b9de-4b14-9543-b4ea44786528","6b38c43d-2e97-46a8-9561-a7faea2230da","e2a23b39-2cf1-4353-b36f-657df44935a1","90","194.51172","65.648895","52","360","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","e8053529-3c0e-41ce-8908-51ebcee97e56","b490adf6-a9bd-444b-8ff0-92f5a15243e5","1a1ccaa9-511b-448b-903c-e7804d16237a","84","194.51172","64.992645","53","358","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","29b70cc7-431a-4b31-91f0-3dd96d25d062","2d228cf0-d9ee-4235-89d9-5e49f2f1a5c3","5accf2a0-a8d0-4abc-9b71-fb37dd14aecc","83","194.51172","64.34421","54","354","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","04ea5feb-39ac-4b6a-93e6-f8380ecf63cf","e257b1b9-25c7-49d2-b375-c5ebabbf7218","c05e7eb8-e94e-4dff-af4a-f8e570a0e24f","78","194.51172","63.734833","55","349","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","a9ddaaee-be03-4d5c-a751-c074805a7ae2","8fd947cc-bbf6-4ba1-9b1a-2bccc2e493ee","475c183b-202d-4440-809b-6e21eaebedae","87","194.51172","63.055145","59","348","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","6a76468d-a6e9-43de-8ab7-0ab9e55bcd5d","8e190640-4ae1-4276-bcc9-ac5ae6234551","afb00719-e6aa-44f4-aa8a-29fe8e1f47f9","78","194.51172","62.44577","63","345","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","37270c8f-c7b9-457b-bd74-7668e1c972e0","7c2d4dad-28fe-412f-bbd5-7e55e811fddb","e460ce12-e856-45c8-8a04-7cf8163df42d","78","194.51172","61.836395","64","342","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","51da0dc4-2b8c-43b1-9385-4ac410f40cc8","6df56981-ccaa-42bc-b2d8-95b6641d9520","28d7fd4a-2cd4-4cb5-9d4f-a63899f89bfd","88","194.51172","61.148895","65","340","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","dd3487a4-4b62-47a6-aaf8-53c33d3ba98a","a192095d-129e-4805-b1e1-0e27e708ac2d","4e282ab1-eb42-4f1e-aa78-f8cf987222e0","69","194.51172","60.609833","65","340","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","6bfa9c4f-3161-4825-a4b7-db1769586b30","69e7e2f9-c170-460f-a9be-027c73728500","6bd7959e-2f61-4514-a2fc-48060f0db2be","82","194.51172","59.969208","69","336","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","daf6fed2-fa95-4407-ae0c-5d3fb9022430","8e2d390d-cd48-4c44-9bc7-252e64d9b198","693b1de9-b194-484a-bc1c-b9f3e0a6eddc","78","194.51172","59.359833","74","334","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","689d9e8f-1bc8-4983-aa5f-5c1ac4a88fa2","b07d5bd6-c388-4f6a-99b0-c16045d9730c","caab5fb9-7492-4a5f-90f7-46eb93943bef","89","194.51172","58.66452","75","330","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","1200dc99-fb05-4da0-853d-62e0389f5614","4f8fc5e8-4f67-4b40-8b97-291b7030e104","4ab9117d-705b-4baa-a698-33ecc54ca3a9","81","194.51172","58.031708","80","325","MULTI_STDDEV_IMPROVED","AVERAGE"
"1","1000","52b14aa5-5e6a-4fd4-ad25-07a068e3bc26","192bc5d6-276d-47e4-b9f0-1896b0c71753","5c009602-11a1-4638-a01f-b8a568355973","73","194.51172","57.461395","80","325","MULTI_STDDEV_IMPROVED","AVERAGE"
