"block","totalContainers","sourceNode","destinationNode","containerID","containerCPU","averageCPU","stddevCPU","minCPU","maxCPU","algorithm","testCase"
"0","1000","","","","","194.51172","75.10983","0","544","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","e9dec630-6c8a-4388-b2dd-bda5ba3c2611","64bb200f-ca8f-4bbe-ae63-379d71c5c38a","6b8053d8-7e4c-4d19-a321-50ed3d7a521c","90","194.51172","74.40671","16","477","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","f9e9b9c0-d5b8-48c2-b5dd-374ed9bf2295","aa0d44ac-674d-4e80-9bdc-fa42806cb543","b8b6574e-b9d1-44c7-98ea-f1a86e41cbb7","84","194.51172","73.75046","24","454","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","e9dec630-6c8a-4388-b2dd-bda5ba3c2611","6ac80212-c81b-4494-8601-13c2d4c934ec","819c5510-2265-4258-8dd9-d49d04614983","85","194.51172","73.086395","25","445","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","7afaa1ba-8171-4f6a-8e83-ea7c7bb90bd8","6de72ace-b30b-45c5-832b-16568298f9df","9059a81c-5510-40f8-ab67-a09b796a4f15","87","194.51172","72.40671","27","420","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","b0009041-8d00-4cc5-a376-2f5de61e717e","bdcea2ca-22af-4fe8-89f7-2eab7009046f","02103e3b-2d63-4723-82be-0cefb43faab0","84","194.51172","71.75046","30","416","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","98207c84-c8d3-458a-9051-52ee131b71c7","1cd6a133-0a0f-46dd-84d9-b1091e1d7a20","906e62e9-53b6-4e60-84dc-79e7d249c9a4","86","194.51172","71.07858","30","414","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","784e3d77-5d4e-4ba8-bb57-5bf4393c24ed","0e31ed87-da42-4b95-9051-9980e045de4f","75b3422e-455e-48f4-baff-55aae2e5df09","89","194.51172","70.38327","36","414","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","8a6cac04-0d64-4d42-b584-98b52a3f38c9","2a7297c2-80a2-4a9c-87ae-8a1275281956","d053809b-89fe-47e8-824c-6c67db296c15","89","194.51172","69.68796","40","397","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","9c197c39-bb77-4540-8692-1f94d7480117","cd8613a6-8106-454e-902b-a33ff2f140ec","7a2ad1ff-6bff-4c34-82c3-d8739374d02e","84","194.51172","69.03171","40","393","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","f9e9b9c0-d5b8-48c2-b5dd-374ed9bf2295","f30b7f12-8aa7-4398-acc7-acb5f3550e2c","e24adb3f-ce1c-428b-843c-189c5021a0f9","81","194.51172","68.398895","43","390","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","80965e25-8f63-477c-a0af-4466495e3e2b","25297277-749c-4ade-a8c7-f117198627a0","aca4c5aa-5e85-4295-b893-e203df88c6e9","90","194.51172","67.69577","44","371","MULTI_DIFF_IMPROVED","AVERAGE"
"1","1000","8d2fe810-f10f-4573-8e79-a9d22a568b03","abb12eb2-b25a-4cf2-b231-bd70cb4225a3","d426441c-93d1-4c24-adaf-a69421723528","88","194.51172","67.00827","49","369","MULTI_DIFF_IMPROVED","AVERAGE"
