"block","totalContainers","sourceNode","destinationNode","containerID","containerCPU","averageCPU","stddevCPU","minCPU","maxCPU","algorithm","testCase"
"0","1000","","","","","194.51172","75.10983","0","544","SINGLE","AVERAGE"
"1","1000","549b2a1e-51b6-4889-bc7e-8b18d4a2096c","a900a73c-231c-4797-a0fe-04017328413f","0aa34eb1-00dc-4325-ad4b-ab66a8838020","90","194.51172","74.40671","16","477","SINGLE","AVERAGE"
"2","1000","866a55d3-da85-4057-9d4b-ba9330ef7f89","74cf230b-94cb-4444-bcff-138657d8f53f","2d318dc8-cb0a-4ca7-89ba-d430f1d8bda5","84","194.51172","73.75046","24","454","SINGLE","AVERAGE"
"3","1000","549b2a1e-51b6-4889-bc7e-8b18d4a2096c","ee683aa2-ff66-448d-a3bc-30cde5ea7a37","8bd88f64-d332-468c-a721-674a0be85b1a","85","194.51172","73.086395","25","445","SINGLE","AVERAGE"
"4","1000","e1427549-fb01-4b63-92d2-cafbdfd04dcb","f257f403-642d-4b68-ae97-9a25b398a3f9","95c52acd-43e1-42db-961b-8100793c834d","87","194.51172","72.40671","27","420","SINGLE","AVERAGE"
"5","1000","19f725f2-d465-422b-9f13-39cf3641303f","c7d69139-4f5a-4ee3-a287-937a1e5608c9","bae30602-0bba-44cb-8810-4b4e6a9bcc50","84","194.51172","71.75046","30","416","SINGLE","AVERAGE"
"6","1000","097696ef-257b-44e2-b421-1d3c4d179857","e537b446-661d-4cf5-9229-f1f8303f414f","770da523-6048-4028-b0cc-f831d23868a3","86","194.51172","71.07858","30","414","SINGLE","AVERAGE"
"7","1000","5571709e-a374-4c39-b0fd-2a5b104a8bf8","e9e8afcc-b1b3-4611-ad2a-0018c67a0187","e2a6ffd1-6a00-4d94-8884-4c66f8dea4c5","89","194.51172","70.38327","36","414","SINGLE","AVERAGE"
"8","1000","5b54a59c-2f05-4df9-98a3-47267c4aab9b","496d4b66-450d-48f0-9eca-00891e34903b","1cf512ce-99a9-4a52-bc8a-4c0a011b2b6c","89","194.51172","69.68796","40","397","SINGLE","AVERAGE"
"9","1000","41187a9c-a88d-48b0-b04c-7c1ec410162c","36dde8f1-c017-4c02-9b3f-3713d4eac80a","c73b5eca-45ca-47cb-b1f9-39b83b640af6","84","194.51172","69.03171","40","393","SINGLE","AVERAGE"
"10","1000","866a55d3-da85-4057-9d4b-ba9330ef7f89","fc7dd475-ee71-4219-bc08-96f5facb21ae","f0ef4143-989c-4393-a4d4-61cf38e3b8ac","81","194.51172","68.398895","43","390","SINGLE","AVERAGE"
"11","1000","f595530a-9d49-4865-bfe7-bde728e05e4e","c3aea9e7-7ce1-4841-8d47-d867da95d9d8","d622db99-2c00-4848-ab24-550260e71204","90","194.51172","67.69577","44","371","SINGLE","AVERAGE"
"12","1000","f318e267-7eb2-4826-b07c-482bbd69da8c","369f9acd-e1b2-4d39-8abb-2e71a0a095e9","e6c31541-632d-4c7c-8711-938498228704","88","194.51172","67.00827","49","369","SINGLE","AVERAGE"
"13","1000","549b2a1e-51b6-4889-bc7e-8b18d4a2096c","0e898fd1-4f13-47b6-8b0c-0a437e1c4280","099764ff-f5da-499c-80d6-821707050c23","84","194.51172","66.35202","50","368","SINGLE","AVERAGE"
"14","1000","317ed8e6-c34f-43ff-9a25-07000b85e948","e5b4f0ca-517b-4c9e-95ef-4f9075d179b3","2104288b-e942-4439-a3a3-502c33bdb4bc","90","194.51172","65.648895","52","360","SINGLE","AVERAGE"
"15","1000","54e5ba6a-8fc0-446f-bad4-68d83f4fb0dd","5cb53c4e-2e0b-41dd-b9a7-968e86e9c84a","781ce2ca-62c6-42bb-b1e0-4f96ca52a860","84","194.51172","64.992645","53","358","SINGLE","AVERAGE"
"16","1000","e1427549-fb01-4b63-92d2-cafbdfd04dcb","8d0daed2-2bb3-4fac-b469-64614a37ca67","675c0e12-3e0a-40ae-a861-47c34de7d67c","83","194.51172","64.34421","54","354","SINGLE","AVERAGE"
"17","1000","b3a6d802-af20-45ff-8b53-a402b4761fc2","4a60c83d-fd96-4299-a4e1-b285e1b22080","f50199e9-4b86-4199-936a-6dd5d7f4cd65","78","194.51172","63.734833","55","349","SINGLE","AVERAGE"
"18","1000","9b560694-6ff1-4031-a41e-ed46150dcc50","ed687f0f-ede0-4f02-8fdd-91fa3e2ee5c5","5870ea25-5768-429f-a791-0890a64325d7","87","194.51172","63.055145","59","348","SINGLE","AVERAGE"
"19","1000","cc7b4e4c-2e41-4f20-a425-48774683a1f0","b9e8c22e-44bb-4f2c-b1c8-e43d7f37df35","71058e18-4605-403e-8538-fae49cb2959c","78","194.51172","62.44577","63","345","SINGLE","AVERAGE"
"20","1000","1e32f97b-caa6-444f-a0f7-b0f038a86e6b","ec027a45-5396-439f-b61a-04d1c5ac8d1c","7a5bcb22-eb09-4481-b80e-99d3a8a07959","78","194.51172","61.836395","64","342","SINGLE","AVERAGE"
"21","1000","c005df3b-8086-4dab-9f9f-a7b8fbefc315","70092e2f-89e5-4be2-a62d-77b580dbb1d3","03f60ffb-8d26-4179-b2f5-1fd24c7ffb3c","88","194.51172","61.148895","65","340","SINGLE","AVERAGE"
"22","1000","3cad24ac-a9f9-4ded-ba7a-b2826b26c22b","6ecca6e0-0828-42b4-9ee7-4180e37ef62b","9b68b38f-4bc8-4d77-8b67-fb42a932d46a","69","194.51172","60.609833","65","340","SINGLE","AVERAGE"
"23","1000","e3887c6f-dcec-4f9e-b5e6-915c5f967b9e","68eb0cb7-91da-4c37-88d2-00010bebe11c","bf5618ae-3cc8-41b8-a55b-a3992e3ac948","82","194.51172","59.969208","69","336","SINGLE","AVERAGE"
"24","1000","19f725f2-d465-422b-9f13-39cf3641303f","dfb97d05-1294-4173-8dd5-e14b8ee20245","6f21647e-f523-496d-8ec0-cb21572f736f","78","194.51172","59.359833","74","334","SINGLE","AVERAGE"
"25","1000","02b076c1-a77d-456f-afd1-d13fb2dbd167","7bef3eb0-3068-44c0-96c3-78f2a73b412a","1c1729e4-370e-419e-a16d-1a96ec5f8bcf","89","194.51172","58.66452","75","330","SINGLE","AVERAGE"
"26","1000","097696ef-257b-44e2-b421-1d3c4d179857","e838b2a7-11db-42ca-a8e4-fedbddaca5a9","24e7f534-4bf0-41c7-85dc-f638988fc7f9","81","194.51172","58.031708","80","325","SINGLE","AVERAGE"
"27","1000","5571709e-a374-4c39-b0fd-2a5b104a8bf8","b773ec89-f7cd-4b42-acec-062e7e5e2d86","d070fee3-2f90-4b92-a638-6be6b1156078","73","194.51172","57.461395","80","325","SINGLE","AVERAGE"
"28","1000","5b54a59c-2f05-4df9-98a3-47267c4aab9b","0b24d29c-7d22-462c-9f09-d08ec47ca714","7d102776-e45e-477c-91f8-1407c03d4e8a","82","194.51172","56.82077","82","325","SINGLE","AVERAGE"
"29","1000","edc31f46-6e30-4810-bfd6-57404524facd","2051f773-ff17-47c5-a95b-5c1050297ce7","5e7621e6-bf20-4649-8891-70f47313dabd","72","194.51172","56.25827","83","324","SINGLE","AVERAGE"
"30","1000","e26c9099-7101-4bcb-85c5-30681442a75c","fa42508d-dfc9-4930-a3f1-67914770ee5e","56825aec-5190-44b7-85e7-bbf4d818516b","80","194.51172","55.63327","85","324","SINGLE","AVERAGE"
"31","1000","6393d362-fedf-4f95-9bc9-aa532bc7b446","23feca9c-f8be-4499-a41b-0ecfec18f813","92f74b64-f9fd-4957-bc28-739a0a4bdfa8","88","194.51172","54.94577","85","324","SINGLE","AVERAGE"
