"block","totalContainers","sourceNode","destinationNode","containerID","containerCPU","averageCPU","stddevCPU","minCPU","maxCPU","algorithm","testCase"
"0","10","","","","","2.3085938","4.4368286","0","89","MULTI_DIFF","AVERAGE"
"1","20","923171fa-d7ad-423e-ad92-e3488c688629","306296f7-7de5-40fe-862f-6ebdbd21ca4f","db802bf5-8900-4a23-b05a-ec71ca138fa9","89","4.6171875","8.837585","0","176","MULTI_DIFF","AVERAGE"
"1","20","267e37e9-e3e9-4f74-a277-261061969440","5aded6b8-9cb0-4d04-83c6-a4d9d533364e","639b3d9a-e4a6-4109-9eff-4adddf904cc3","88","4.6171875","8.801514","0","146","MULTI_DIFF","AVERAGE"
"1","20","f971ab8a-0ec8-456c-b7b9-93c67d4ff071","6334f5ec-9b8e-4ae5-9dc8-219fa5c8ea35","28df4aec-2b84-43de-9e13-077815c754e6","73","4.6171875","8.765442","0","140","MULTI_DIFF","AVERAGE"
"1","20","415926bb-877a-494e-b1bb-532f4ccb35ea","4a42f904-7d85-40c5-9e1f-3a9e0f2be967","3fcd0ffc-84aa-4f4d-a8ae-0db10d325e77","70","4.6171875","8.72937","0","134","MULTI_DIFF","AVERAGE"
"1","20","acd9285e-0822-43f5-be82-725a1d02bc4f","dbe9852f-1f5e-4e62-a824-d50f1b4cd8e8","bce0eb84-7f1c-4974-9158-8fcd438d75cd","67","4.6171875","8.693298","0","124","MULTI_DIFF","AVERAGE"
"1","20","ff38d3d4-50ae-437e-a05c-00b695d516e4","017faa37-c793-4a89-abf3-df9b9fd4f291","213e8df1-046c-4fbc-855d-f6da0af0de4a","62","4.6171875","8.657227","0","94","MULTI_DIFF","AVERAGE"
"1","20","c0a2c465-85e6-4a9f-8925-e40ac9fb12a1","434b9f50-39d3-45ba-85e8-1bd1aa4c5cb9","9c91b865-9869-4bd7-b6ea-5793dbdb729f","47","4.6171875","8.621155","0","89","MULTI_DIFF","AVERAGE"
"2","30","923171fa-d7ad-423e-ad92-e3488c688629","41ba9324-63d5-407e-b34e-9a46c4cb9f35","7b170cc6-f6c4-4914-9afa-bbf39ddc04c7","89","6.9257812","12.8776245","0","176","MULTI_DIFF","AVERAGE"
"2","30","267e37e9-e3e9-4f74-a277-261061969440","7f538ba8-1104-4ac2-922d-625f57ee360d","235506bf-b4f0-4265-ae32-8797fc47cc69","88","6.9257812","12.823517","0","146","MULTI_DIFF","AVERAGE"
"2","30","f971ab8a-0ec8-456c-b7b9-93c67d4ff071","5cad845c-bf1d-4b4b-957c-eb5f99330220","1adc9ada-27d4-4445-a792-0834532d9093","73","6.9257812","12.769409","0","140","MULTI_DIFF","AVERAGE"
"2","30","415926bb-877a-494e-b1bb-532f4ccb35ea","15b5d536-4132-47b0-b680-a1f299f439b5","1d91979d-d589-4794-b3f2-31ce623802ef","70","6.9257812","12.7153015","0","134","MULTI_DIFF","AVERAGE"
