"block","totalContainers","sourceNode","destinationNode","containerID","containerCPU","averageCPU","stddevCPU","minCPU","maxCPU","algorithm","testCase"
"0","10","","","","","2.3085938","4.4368286","0","89","SINGLE","AVERAGE"
"1","20","9400f783-9e43-4780-a2c5-baa67a386cea","99fde945-2c03-4dce-b586-7e0bd4a800f5","e6017499-44f4-4ad1-9686-2642e970b753","89","4.6171875","8.837585","0","176","SINGLE","AVERAGE"
"2","30","a072c6e8-d1b9-457f-973a-13f536f0ee1e","45288b71-6ae0-4fb0-913b-555bf1b03cac","1335576f-64ed-4c68-9893-600e0947dd47","88","6.9257812","13.2022705","0","219","SINGLE","AVERAGE"
"3","40","e1464c6e-fd37-46eb-b8df-52b81d2d3389","b231811c-52de-4562-aa4c-c7a7353f4cc2","072b5917-12cc-4b0d-b1cf-0d180743a563","73","9.234375","17.530884","0","280","SINGLE","AVERAGE"
"4","50","9400f783-9e43-4780-a2c5-baa67a386cea","7d8545a1-7952-405b-ab1f-d8461b6252d8","8ef03f60-a742-4962-889a-2d28979bf00f","89","11.542969","21.823425","0","352","SINGLE","AVERAGE"
"5","60","a072c6e8-d1b9-457f-973a-13f536f0ee1e","868190ff-9356-4d97-b4e4-a5ea79594a90","a13baa30-cf52-45e3-b9bc-bcfd81d19b8f","88","13.8515625","26.079895","0","420","SINGLE","AVERAGE"
"6","70","2c9e35fc-936d-4cc4-9b84-2ce9ca73ae99","2c330f5c-7a34-4f1e-ac03-f577120f669c","41e83ac9-8a05-466e-a5f8-a855a0eadc49","70","16.160156","30.300293","0","469","SINGLE","AVERAGE"
"7","80","5ad673e0-8848-43f8-8539-9fb98624ff14","40884a45-4cdd-4a8d-9ee1-9809f552b4b2","ae0f2cb6-b149-4831-8cfc-5e86c8184b9f","67","18.46875","34.48462","0","534","SINGLE","AVERAGE"
"8","90","9400f783-9e43-4780-a2c5-baa67a386cea","c203b6e4-41bb-45be-8e2d-8bff0e10bfa1","ccd034b1-a572-4128-8db0-df1d2ac2bc03","89","20.777344","38.632874","0","616","SINGLE","AVERAGE"
"9","100","a072c6e8-d1b9-457f-973a-13f536f0ee1e","5fee9a2e-e191-463a-9f8c-fe5c83d91a93","e41f6d12-9c75-43d0-a1a7-b1569c93159f","88","23.085938","42.745056","0","657","SINGLE","AVERAGE"
"10","110","e1464c6e-fd37-46eb-b8df-52b81d2d3389","afd8c69f-dd9d-43f9-841f-b83e3c6457c1","c7867991-285a-4fdc-ab79-fd5fa72536a7","73","25.394531","46.821167","0","712","SINGLE","AVERAGE"
"11","120","9400f783-9e43-4780-a2c5-baa67a386cea","72c38594-ce33-4281-acd6-6d964e300f91","2c4cedf1-ee89-4167-957c-a5212ffe0faf","89","27.703125","50.861206","0","792","SINGLE","AVERAGE"
"12","130","a072c6e8-d1b9-457f-973a-13f536f0ee1e","90f0fc98-cef2-4d6b-afcb-4b2b0d596ea8","c2c773dc-4fab-4392-9a6d-e1decb4abdfb","88","30.011719","54.865173","0","840","SINGLE","AVERAGE"
"13","140","2c9e35fc-936d-4cc4-9b84-2ce9ca73ae99","38974de9-60c1-4808-99c8-cd1b19a8c51a","9a8293d3-9994-4bbd-85c9-e34ef6c5efbf","70","32.320312","58.83307","0","890","SINGLE","AVERAGE"
"14","150","9400f783-9e43-4780-a2c5-baa67a386cea","29e2b954-cb9d-48ac-a3ac-ac6b73cf11c5","e08635e0-71fd-45ed-b81c-53bb987af6ed","89","34.628906","62.764893","0","968","SINGLE","AVERAGE"
"15","160","a072c6e8-d1b9-457f-973a-13f536f0ee1e","c51d348e-b899-49c4-ab3f-c6165e6ff8fe","e5293d0a-b6ba-42e9-a0ea-abb2850bbf79","88","36.9375","66.660645","0","1022","SINGLE","AVERAGE"
"16","170","e1464c6e-fd37-46eb-b8df-52b81d2d3389","9b645967-0af4-4aca-80b3-0feb4daa6729","9b1554d2-0f94-4781-99d7-d7a176c50cd1","73","39.246094","70.520325","0","1072","SINGLE","AVERAGE"
"17","180","9400f783-9e43-4780-a2c5-baa67a386cea","acea3e48-b48f-4184-a050-7f32a4d06665","f4829bf8-72f9-41dd-af38-2553a4be2446","89","41.554688","74.34393","0","1144","SINGLE","AVERAGE"
"18","190","a072c6e8-d1b9-457f-973a-13f536f0ee1e","bc6310c5-0891-4598-9c85-1bd91999a633","d3b287fb-ea48-440a-97ac-9eb6ad5e8a1c","88","43.86328","78.13147","0","1206","SINGLE","AVERAGE"
"19","200","5ad673e0-8848-43f8-8539-9fb98624ff14","33e9ac52-1bb7-4f1a-8241-4adcf05cbf9d","0ff0ceab-140d-4448-b974-7e626f8bf450","67","46.171875","81.882935","0","1260","SINGLE","AVERAGE"
"20","210","9400f783-9e43-4780-a2c5-baa67a386cea","4a3952f2-3bda-4504-91ce-d675e4642edf","446c1306-a91a-4bec-8157-318c5bec1c4a","89","48.48047","85.59833","0","1330","SINGLE","AVERAGE"
"21","220","a072c6e8-d1b9-457f-973a-13f536f0ee1e","446b89e8-b9ac-48b1-bc55-3ac8355fe3d6","f26cd3dd-1118-46b9-9009-0d54b4090455","88","50.789062","89.27765","0","1400","SINGLE","AVERAGE"
"22","230","2c9e35fc-936d-4cc4-9b84-2ce9ca73ae99","6373a65c-cddd-4d69-9b7b-5635edf52686","bcc54f04-f197-4910-b363-407e5fcbfe25","70","53.097656","92.9209","0","1460","SINGLE","AVERAGE"
"23","240","e1464c6e-fd37-46eb-b8df-52b81d2d3389","e61126d4-87c2-4b3d-978e-249813b88f07","e4649a0c-9802-468b-86e5-1a8715f7f69d","73","55.40625","96.528076","0","1513","SINGLE","AVERAGE"
"24","250","9400f783-9e43-4780-a2c5-baa67a386cea","e1cb9dda-8458-42af-abf0-1520eba2ff62","0e1f0cc4-6ab2-49f8-b10f-05533d083942","89","57.714844","100.09918","0","1584","SINGLE","AVERAGE"
"25","260","a072c6e8-d1b9-457f-973a-13f536f0ee1e","67af3cdd-e0c7-4a06-a763-68dea9bfce7c","047def6c-79cd-42a5-ae50-84f2ef61260b","88","60.023438","103.63422","0","1612","SINGLE","AVERAGE"
"26","270","9400f783-9e43-4780-a2c5-baa67a386cea","4be9cc69-663a-46ef-ac98-cc01a2272492","798af37e-0fcd-46bc-b2e7-d9bb89ef3820","89","62.33203","107.13318","0","1680","SINGLE","AVERAGE"
"27","280","a072c6e8-d1b9-457f-973a-13f536f0ee1e","67efa30c-e9d7-4766-a60a-10d43a6b4ef5","408dc862-6e77-45ec-886e-4d8521b2fc37","88","64.640625","110.59607","0","1752","SINGLE","AVERAGE"
"28","290","e1464c6e-fd37-46eb-b8df-52b81d2d3389","9c40d39c-9523-4714-bb7a-8cb6727f0ac1","2e022c56-bdd6-4eb0-ab5a-28fdf1e73cc4","73","66.94922","114.02289","0","1820","SINGLE","AVERAGE"
"29","300","2c9e35fc-936d-4cc4-9b84-2ce9ca73ae99","ac83d625-ee97-403d-96fa-0fd12d62cb20","75cb4477-8ed7-4577-ad35-5c2b805dc2c3","70","69.25781","117.44891","0","1876","SINGLE","AVERAGE"
"30","310","9400f783-9e43-4780-a2c5-baa67a386cea","c9724998-045d-4650-9351-a9d4f4f17132","1e20fda1-2e11-4a4c-9a83-5a1a38b596d6","89","71.56641","120.88861","0","1943","SINGLE","AVERAGE"
"31","320","a072c6e8-d1b9-457f-973a-13f536f0ee1e","ac81b11b-f0c4-490b-a4f2-357ba69f579d","75bc7c97-85b8-4f5b-8be9-bb7870a6573e","88","73.875","124.34961","0","2010","SINGLE","AVERAGE"
"32","330","5ad673e0-8848-43f8-8539-9fb98624ff14","3609666c-a97b-4e7e-8b66-7ce8dd79e2ba","7b3ec890-53bb-4f5e-9db5-d236f651cdc0","67","76.18359","127.90228","0","2047","SINGLE","AVERAGE"
"33","340","9400f783-9e43-4780-a2c5-baa67a386cea","c5c4422d-31b2-484f-a876-7cccdf905ff8","0e9282a1-2cda-4293-b54d-b42bc6f817a3","89","78.49219","131.36517","0","2117","SINGLE","AVERAGE"
"34","350","a072c6e8-d1b9-457f-973a-13f536f0ee1e","70a64aee-e653-4882-8128-4bca253d1bbd","1ba6bfa8-8431-4940-a96f-7b44df2ec342","88","80.80078","134.79199","0","2190","SINGLE","AVERAGE"
"35","360","e1464c6e-fd37-46eb-b8df-52b81d2d3389","d4fe4026-f419-4eaa-b643-6597c95ae50f","304792c8-e5e4-49fe-bb4f-c8451dfa6e6c","73","83.109375","138.26172","0","2240","SINGLE","AVERAGE"
"36","370","9400f783-9e43-4780-a2c5-baa67a386cea","f3f471a7-43b5-4faf-ba4f-896c76048b6c","4928eaba-c871-43f5-8f0e-20964b2271c7","89","85.41797","141.63443","0","2310","SINGLE","AVERAGE"
"37","380","2c9e35fc-936d-4cc4-9b84-2ce9ca73ae99","4e79698d-d895-4498-8320-8f45c19d1f4c","d0465d41-5bf1-4d27-9e14-3fa94d459d3b","70","87.72656","145.10956","0","2376","SINGLE","AVERAGE"
"38","390","a072c6e8-d1b9-457f-973a-13f536f0ee1e","29b8c7ad-8ddc-47c9-9d9c-1b4978bf2683","baa2ed33-5bee-42a8-9a51-599591610b1c","88","90.03516","148.716","0","2418","SINGLE","AVERAGE"
"39","400","9400f783-9e43-4780-a2c5-baa67a386cea","6fd99465-b2f5-4ed5-b126-a8a7285446c9","ae1e442e-3687-414b-82b7-feebfc0ae5ad","89","92.34375","152.45752","0","2482","SINGLE","AVERAGE"
"40","410","e1464c6e-fd37-46eb-b8df-52b81d2d3389","7c7256e4-e4be-48a7-b85e-60dde80d3814","0dff540a-9178-4012-a520-a1b019a4b07b","73","94.65234","156.32404","0","2552","SINGLE","AVERAGE"
"41","420","a072c6e8-d1b9-457f-973a-13f536f0ee1e","e3d891c7-aecf-479f-a69a-77c51b3c1498","ada4c089-cf3d-4dbe-876f-39ad9bc38657","88","96.96094","160.07336","0","2613","SINGLE","AVERAGE"
